雅居乐铂爵山,,,中山,,,,,,,,,,,,0,0,[],
大信海岸家园,东明桥旁,1500户,中山,2008-01,普通住宅,中山市新都物业管理公司,,2.8,1.2元/平方米·月,800,40.0%,800000平方米,,,22.558415,113.394258,"[""http://pic1.ajkimg.com/display/8978c3173e86b999f7a59af77af5b3f8/200x200.jpg"",""http://pic1.ajkimg.com/display/f95c32c2da4aa6037645028f5637f71e/200x200.jpg"",""http://pic1.ajkimg.com/display/2c02e765ec66d0dc438102f98776c260/200x200.jpg"",""http://pic1.ajkimg.com/display/31e69694172158bd9e0ada4c06f10f90/200x200.jpg""]","大信海岸家园项目系中山首席大型水岸生态社区，首期开发占地15万平方米，建筑面积达25万平���米。矗立在岐江河东江的北面， 是中山唯一南向望江的社区。住宅户型以两房一厅,三房二厅,四房二厅,五房二厅,单户建筑面积从70～200平方米，多种户型，并根据不同户型设计有复式及1～3个大小不同阳台。"
帝璟东方,博爱六路党校南侧,1000户,中山,2009-01,普通住宅,中山市昌生物业管理有限公司,,1.5,2.3元/平方米·月,地下停车位,32.0%,200000平方米,,,22.512119,113.429297,"[""http://pic1.ajkimg.com/display/24e39162ea82b45806a97c13ae3308a4/200x200.jpg"",""http://pic1.ajkimg.com/display/5f943e23ca56f3a8d1432b30f9e0b249/200x200.jpg"",""http://pic1.ajkimg.com/display/db2fd553f0cff20d13ba6bc2c2c052bc/200x200.jpg"",""http://pic1.ajkimg.com/display/8ff44b11db7da63992db3c6b0e91e77f/200x200.jpg""]",帝璟东方位于博爱六路党校南侧，紧邻规划中的中山国际博览中心，属于新兴的中山市市政中心区域。 该项目在建筑规划上，单体造型融会中西文化，外墙色彩丰富时尚，明快轻松的阳台，形成现代色彩的立体景观，建筑以南北向为主，体现尊贵品位增加空气对流。该项目非常注重产品的创新和个性化，推出中山首创空中廊院概念，高度廊院享受空间，成就一种高品质的居住环境，项目户型设计新颖时尚，户户观景设计，南北通透，朝向绝佳，配备景观泳池、网球场等高尚生活设施，帝璟东方是在致力营造优生活特区的同时，将致力于二十万平方米高尚住区打造成为国际级的人文经典社区。 园林方面，帝璟东方藉名家之手笔，巨资打造风情水景园林。注重园林空间的享受性，互动性和参与性，小区内水景点线结合，户户见水。小区内步行通道设计有一条融入整个小区当中林荫跑步漫步道，提供生活休闲舒适场所，建成集运动、休闲、娱乐为一体的纯粹高品位生活方式。在外围，五桂山、紫马岭、金字山环绕帝璟东方，举步即可到达。宁静清幽、环境绝美的紫马岭公园，风景优美的金字山，二者珠联璧合，互为依托，相互映衬。这里，是自然与人文的完美结合；这里，是都市与野趣的最佳体现；这里，既有优美独特的自然景色，也有源远流长的历史底蕴。 在配套方面，帝璟东方享有国际级会所和一流的教育配套，使居住于此的尊贵业主消费无忧，无上优越，生活品味更具国际风范。 地处会展中央板块的帝璟东方，静可观山，动可戏水，推窗见景，移步入画，无可匹敌的大自然原生山水，全然享有。将成为中山东区皇冠之巅的一颗明珠，成就帝璟人家的丽质无瑕，成就至高无上的人生境界。帝璟东方，倚天赋之优、藉自身实力，无疑将成为豪宅阵营里的种子选手。
广浩华庭,西区沙朗金华南路,1500户,中山,2005-11,普通住宅,中山市广浩物业管理服务有限公司,,0.0,1.10元/平方米·月,地下停车库,00%,150000平方米,,,22.567689,113.346708,"[""http://pic1.ajkimg.com/display/3640825640c13c8e90f4c9c1f1d73401/200x200.jpg"",""http://pic1.ajkimg.com/display/67448ebf5b1b86b7e2ac680981d1d3bd/200x200.jpg"",""http://pic1.ajkimg.com/display/5098522b99d1143daf921129f7d6beef/200x200.jpg"",""http://pic1.ajkimg.com/display/24812f5c0f71bb431e3b8892831a5038/200x200.jpg""]",广浩华庭是沙朗首个15万平方米大型生态住宅小区，共由57幢多层阳光住宅组成，规划户数1300户。小区配套设施齐全，拥有现代化教学设备的广浩学校；拥有集健康性、娱乐性、文化性于一体，4000平方米大型时尚休闲会所。小区引进智能化管理系统，实行人车分流的规划。在建筑风格上，以“纳世界于胸”的兼容并包精神，筑就了古典的欧陆式风情建筑和浪漫的地中海式风情建筑。在园林风格上，体现亚热带风情和欧式水景风情，让居住者于有限空间领略不同国度文化、风情。
雅居乐御龙山,,,中山,,,,,,,,,,,,0,0,[],
雅居乐御龙山,五桂山与三乡之间,,中山,,,,,,,,,,,,22.387301,113.459287,"[""http://pic1.ajkimg.com/display/bac23ed7805528761d5fd3306cdb04e6/200x200.jpg""]",
中信凯旋蓝岸,华师路,1465户,中山,2011-11,普通住宅,中信物业,,1.9,1.85元/平方米·月,600个车位,30.0%,210000平方米,,,22.594239,113.434377,"[""http://pic1.ajkimg.com/display/2aacdd67963aa08b77c3c7ef003a03ca/200x200.jpg"",""http://pic1.ajkimg.com/display/943e95b2b206c0bbe7615ff0f5ea516d/200x200.jpg"",""http://pic1.ajkimg.com/display/daf112256304f7b86fc2a3eef194dfeb/200x200.jpg"",""http://pic1.ajkimg.com/display/94ce6032815351b4eed15feaf94f5e7f/200x200.jpg""]",中信凯旋蓝岸位于港口镇美景东路，紧邻华南师范大学中山附属学校，在建筑规划上注重交流，与园林一起营造围和的庭院式空间，另外西班牙式的外立面、情趣化的风情步行街、增值性与功能性皆具的户型设计、景观园林的独特设计，精心打造成一个“阳光下的西班牙小镇”。一期以联排别墅、多层电梯洋房为主，紧靠33000平米的生态湿地公园，能与水亲密接触。带地下车库，人车分流，环境清幽。
万科城市风景,城南一路5号,4500户,中山,2008-12,普通住宅,深圳市万科物业管理有限公司,,1.49,2.38元/平方米·月,1：1,30.0%,520000平方米,,,22.498638,113.365579,"[""http://pic1.ajkimg.com/display/d9e806d0f116c7505842f1291f0effad/200x200.jpg"",""http://pic1.ajkimg.com/display/34fcd62c5ee19fa429a1e8c1737e5f54/200x200.jpg"",""http://pic1.ajkimg.com/display/6d50671c0069c6ce8f2149eeb4e18c14/200x200.jpg"",""http://pic1.ajkimg.com/display/385cf4fe3c0691d97eae9fcb255ca2f5/200x200.jpg""]",万科城市风景分六期开发，目前处于第三期开发阶段，已交付千户业主，吸引到华润万家、中国银行24小时取款自助银行等商家进驻，品牌学校——中山市侨中英才学校落户万科城市风景，社区配套已基本成熟。 项目荣膺2005年度中山市销售备案套数第三名;2006年中山城区套数、面积销售第三。
锦绣阳光花园,乐怡路2号,320户,中山,2009-12,普通住宅,中山市完全物业管理有限公司,,2.3,1.2元/平方米·月,地下停车库,36.0%,1000000平方米,,,22.259232,113.470573,"[""http://pic1.ajkimg.com/display/6c30495e51922f3639b959cdc011ff69/200x200.jpg"",""http://pic1.ajkimg.com/display/2c3046db253fb3064093c309177bcd0e/200x200.jpg"",""http://pic1.ajkimg.com/display/4ac4c830b48e905a31eca17d37c4540e/200x200.jpg"",""http://pic1.ajkimg.com/display/7822696f7ac133fe4b9eac31aeb952b2/200x200.jpg""]",坦洲新中心区超大型湖畔生活典范——锦绣阳光花园，集居住、度假、购物于一体，辐射周边珠海、澳门、香港等城市，将成为周边城市享受生活人士的聚居地，让更多热爱生活的成功人士拥有尊贵的生活。本项目由中山市完全物业管理有限公司提供尊贵、专业、全面的物管服务。 观湖雅筑是锦绣阳光花园的四期，位居中山锦绣阳光花园社区核心位置，错落有致的欧式建筑沿社区近５００００平方米的中央湖景区而建，是社区目前最好的组团之一。自４月中旬开售以来，基本上每推出一栋，即被疯狂抢购一空，不少买家还要等待数月才可以买到合心水单位，销售单价更创下坦洲楼市历史新高。
凯茵新城雅湖居,凯茵新城雅湖居,8000户,中山,2006-10,普通住宅,雅居乐物业,,0.0,1.50元/平米·月,地下停车场,40%,2050000平方米,,,22.51456,113.469286,"[""http://pic1.ajkimg.com/display/d326077d29105e5a044e9e16fec2e756/200x200.jpg"",""http://pic1.ajkimg.com/display/15a695c988ea6f351870e9cdf6c7b601/200x200.jpg"",""http://pic1.ajkimg.com/display/d0515e46383089e36cc1cbfff7c4ee21/200x200.jpg"",""http://pic1.ajkimg.com/display/8c183d0a416a3e7c2bd7833b18d193a7/200x200.jpg""]",凯茵车连接凯茵新城和市区，自驾车20分钟到繁华市区，小区出口即外环路，交通方便，过香港澳门广州深圳珠海东莞等城市都有直达的交通路线，中山将成为广东省半小时生活圈，连接轻轨、港珠澳大桥、中深大桥
